run_id,started_at,finished_at,account_id,signal_trade_date,execution_trade_date,status,signal_sha256,reconciliation_sha256,data_snapshot_sha256,code_snapshot_sha256,policy_sha256,artifact_path,artifact_sha256,event_count,order_count,fill_count,net_asset,normalized_nav,benchmark_nav,freshness_status,error_type,operator
97c4572ab074ad0129ef,2026-07-22T12:53:57.525930+00:00,2026-07-22T12:54:00.399175+00:00,model_baseline,20260716,20260717,PASS,a7af3881ad1369731543414f6c2876a3d2544d859d65eb620bff67a40eac28b2,7536763b28644a128f67d69eb7a3fdd6a31f285af33d0b729048bc833096e15a,ecc1677e18248ca32d38c84a09064cf4daafaa30d03bc0cfff04dbd39f9791c6,6f52025ac0593a37228dd3ceecad47f4db08be2f7e13aa1e7ccc56ae7fd91baa,eaa341b5a3eee94347c7a8453a3e52f1986e3707abfbb6bb69a6d9298c320cc8,data/paper/model_baseline/runs/20260717-a7af3881ad13.json,d4089786fc0e481fa9ba4308c499adcc3470f3fdbc626a1f1a9bef00b0e04af4,77,30,22,477333.69,0.95466738,0.9660028427300117478134011281,PASS,,docker-scheduler
177733b92ad6f8d40866,2026-07-22T12:54:00.435552+00:00,2026-07-22T12:54:02.498014+00:00,model_baseline,20260717,20260720,PASS,5fc1e7915d2cb81a960df9db446b108f9d7d7852109a5e18c308d28bebf23eed,8ae3087217aee8ce1b7b2c95419aace38b80beea432fb3924483fea1a02af366,ecc1677e18248ca32d38c84a09064cf4daafaa30d03bc0cfff04dbd39f9791c6,6f52025ac0593a37228dd3ceecad47f4db08be2f7e13aa1e7ccc56ae7fd91baa,eaa341b5a3eee94347c7a8453a3e52f1986e3707abfbb6bb69a6d9298c320cc8,data/paper/model_baseline/runs/20260720-5fc1e7915d2c.json,af99aa59604e7db787aa029743de7554dee7ace10f3aa200f0970db076cde6b9,25,0,0,460830.80,0.9216616,0.9732875109553326152878344670,PASS,,docker-scheduler
04306039a53d0742cf34,2026-07-22T12:54:02.515567+00:00,2026-07-22T12:54:04.544170+00:00,model_baseline,20260720,20260721,PASS,e0edbf0ac4458e680955000f3c10ec685eeb3d1954425b0ecf55d5f2172e4bb8,5ea1399d2b605d7ea0a50e9ea179d8bf0b71863dd20865cee955bb3c2614f6bb,ecc1677e18248ca32d38c84a09064cf4daafaa30d03bc0cfff04dbd39f9791c6,6f52025ac0593a37228dd3ceecad47f4db08be2f7e13aa1e7ccc56ae7fd91baa,eaa341b5a3eee94347c7a8453a3e52f1986e3707abfbb6bb69a6d9298c320cc8,data/paper/model_baseline/runs/20260721-e0edbf0ac445.json,1642dfe0319af2cdd1b744471966088af5c0c68e5498b00db088880941dea886,24,0,0,487299.48,0.97459896,1.008695563971357639043083574,PASS,,docker-scheduler
2ef6d0f7b2b5d6f421ce,2026-07-22T12:54:04.564953+00:00,2026-07-22T12:54:06.619293+00:00,model_baseline,20260721,20260722,PASS,c84a80351f1e7b22a5f5f7f6a56b3429edf191b5d541b5f874bbd7fffeddc064,05704819a7e437a8cdd96f6d23a92413fe8b198c87a32ad2304ab577985a118d,ecc1677e18248ca32d38c84a09064cf4daafaa30d03bc0cfff04dbd39f9791c6,6f52025ac0593a37228dd3ceecad47f4db08be2f7e13aa1e7ccc56ae7fd91baa,eaa341b5a3eee94347c7a8453a3e52f1986e3707abfbb6bb69a6d9298c320cc8,data/paper/model_baseline/runs/20260722-c84a80351f1e.json,73e91b5744f21bd3c59ca46fb4513dbf39913f71484eab2b898a9a74f135026d,24,0,0,483225.61,0.96645122,1.003577112157832567159918366,PASS,,docker-scheduler
a2d9e565973a4569e06c,2026-07-23T11:54:19.446479+00:00,2026-07-23T11:54:22.172235+00:00,model_baseline,20260722,20260723,PASS,3eef24f0d52ce08a220ea2be20ec37df9d8b0f2a577f322c607660851f7fd512,db7c5d544dd934e0148ffc2a96c07884a6f6f7db4a1250755b37de2b5faff038,b7ef9171e848bad0fed0f892914bd82daac0d2e219f3482c0f308db07f696ab9,261f58b858dbc46d49ffb9f623e8868dcb10891cc2dadd2292728da6de7eb4fa,eaa341b5a3eee94347c7a8453a3e52f1986e3707abfbb6bb69a6d9298c320cc8,data/paper/model_baseline/runs/20260723-3eef24f0d52c.json,fa39ea42988c90ad218f73bc8a8816b3806526448e46f499e9819317fadeef9f,24,0,0,478783.28,0.95756656,1.004659875223296273687467360,PASS,,docker-scheduler
1d3d80f800b382261d25,2026-07-24T12:33:41.095840+00:00,2026-07-24T12:33:43.236777+00:00,model_baseline,20260723,20260724,PASS,cb092b2143335da11463b34c5b75c3a5b1d2e99142272d69b6c05bb88ae79b1e,12f752dcc459226bc2cb1b4fdc8a6ae5285ac987cca99f4d506a9f3a89867135,f91c8c78406a214ad9ebef39c56cad2d1cb24472f1c104fa5ded0d578c51b3ab,eb8e752132ac1fbe6a9557d26b4c7a65df36f6169d617b6e1e10db88d46b7fbd,eaa341b5a3eee94347c7a8453a3e52f1986e3707abfbb6bb69a6d9298c320cc8,data/paper/model_baseline/runs/20260724-cb092b214333.json,39a52e5169b673b21a2fee08ba1455bb0951e12efa7cb9a8a6b201bdf76c4c90,24,0,0,471824.90,0.9436498,0.9854111247658893260412062397,PASS,,docker-scheduler
6aa9eb3a9e6f8d5b9c6d,2026-07-26T15:56:25.494153+00:00,2026-07-26T15:56:28.328919+00:00,model_top20,20260716,20260717,PASS,a7af3881ad1369731543414f6c2876a3d2544d859d65eb620bff67a40eac28b2,7536763b28644a128f67d69eb7a3fdd6a31f285af33d0b729048bc833096e15a,242f4b61c6f0f9e46e7205f546215f3fc4922eb92ab72b557c8069b8a4fcbd99,6846a7f1ac6555548bd72b4b8a473511566a1d493590a77cb2679c284afd282c,d11d773bd79719641dc1bbc35976d4899fddb730d0f3673094cb6f20cc7840c8,data/paper/model_top20/runs/20260717-a7af3881ad13.json,1699e2f20fa27b1b6f1c1b6bb3e61e4d8a527bfab9adc48ca6e75302d8c4ef0f,59,20,18,467792.05,0.9355841,0.9660028427300117478134011281,PASS,,docker-top20-backfill
ab2d272224c6de7f81f3,2026-07-26T15:56:28.396915+00:00,2026-07-26T15:56:30.381034+00:00,model_top20,20260717,20260720,PASS,5fc1e7915d2cb81a960df9db446b108f9d7d7852109a5e18c308d28bebf23eed,8ae3087217aee8ce1b7b2c95419aace38b80beea432fb3924483fea1a02af366,242f4b61c6f0f9e46e7205f546215f3fc4922eb92ab72b557c8069b8a4fcbd99,6846a7f1ac6555548bd72b4b8a473511566a1d493590a77cb2679c284afd282c,d11d773bd79719641dc1bbc35976d4899fddb730d0f3673094cb6f20cc7840c8,data/paper/model_top20/runs/20260720-5fc1e7915d2c.json,940e7a91b72cbe8a90f3b19d42186781759faf69cda5b89dcd812cd7d460a208,21,0,0,442033.78,0.88406756,0.9732875109553326152878344670,PASS,,docker-top20-backfill
76377bdd51e978cf2156,2026-07-26T15:56:30.408306+00:00,2026-07-26T15:56:32.464429+00:00,model_top20,20260720,20260721,PASS,e0edbf0ac4458e680955000f3c10ec685eeb3d1954425b0ecf55d5f2172e4bb8,5ea1399d2b605d7ea0a50e9ea179d8bf0b71863dd20865cee955bb3c2614f6bb,242f4b61c6f0f9e46e7205f546215f3fc4922eb92ab72b557c8069b8a4fcbd99,6846a7f1ac6555548bd72b4b8a473511566a1d493590a77cb2679c284afd282c,d11d773bd79719641dc1bbc35976d4899fddb730d0f3673094cb6f20cc7840c8,data/paper/model_top20/runs/20260721-e0edbf0ac445.json,6274286336fa84f16e217a92cc5711fb092280184303fd820edc7d0bb0b3bb3e,20,0,0,475791.27,0.95158254,1.008695563971357639043083574,PASS,,docker-top20-backfill
104b44ee787ab62438b0,2026-07-26T15:56:32.494695+00:00,2026-07-26T15:56:34.507108+00:00,model_top20,20260721,20260722,PASS,c84a80351f1e7b22a5f5f7f6a56b3429edf191b5d541b5f874bbd7fffeddc064,05704819a7e437a8cdd96f6d23a92413fe8b198c87a32ad2304ab577985a118d,242f4b61c6f0f9e46e7205f546215f3fc4922eb92ab72b557c8069b8a4fcbd99,6846a7f1ac6555548bd72b4b8a473511566a1d493590a77cb2679c284afd282c,d11d773bd79719641dc1bbc35976d4899fddb730d0f3673094cb6f20cc7840c8,data/paper/model_top20/runs/20260722-c84a80351f1e.json,3847bc03596f87fa06fda09a6c43d54e4d638dea826e57c1eb69697507a7fb3d,20,0,0,469187.70,0.9383754,1.003577112157832567159918366,PASS,,docker-top20-backfill
